ProviderId,Name,Upin,DateOpened,DateClosed
10084737,Edge Hill Academy,162355,2019-11-01,NULL
10085009,Wilnecote Junior Academy,152013,2020-03-01,NULL
10088734,Anker Valley Primary Academy,163393,2021-09-01,NULL
10085834,Beckers Green Primary School,162596,2020-09-01,NULL
10089241,Bandon Hill Primary School,132910,2021-09-01,NULL
10083905,Francis Baily Primary School,152007,2019-09-01,NULL
10085213,Hamilton School,151993,2020-01-01,NULL
10085600,Cranbury College,162159,2020-08-01,NULL
10088911,Winterslow Church of England Primary School,163465,2021-08-01,NULL
10088910,Pitton Church of England Primary School,163459,2021-08-01,NULL
10084741,Ludwell Primary School,151916,2019-11-01,NULL
10090207,"St Gregory's Catholic Primary School, South Shields",163785,2022-04-01,NULL
10089237,"St Bede's Catholic Primary School, Jarrow",163532,2021-10-01,NULL
10087344,"St Leonard's Catholic Primary School, Silksworth",163082,2020-12-01,NULL
10087309,St Bede's Catholic School and Byron Sixth Form College,163146,2021-01-01,NULL
10082040,Westwood First School,141562,2019-04-01,NULL
10084497,Blackshaw Moor CofE First School,141519,2019-10-01,NULL
10081947,All Saints CofE First School,141513,2019-04-01,NULL
10081952,Beresford Memorial CofE First School,141518,2019-06-01,NULL
10081949,Rushton CofE First School,141545,2019-04-01,NULL
10081951,Leek First School,141536,2019-04-01,NULL
10084719,Dane Bank Primary School,138239,2019-11-01,NULL
10084540,New Leaf Centre,151728,2022-09-01,NULL
10088867,Lea Hall Academy,163214,2021-09-01,NULL
10088762,High Point Academy,163425,2021-09-01,NULL
10085864,Sheep Dip Lane Academy,162423,2020-04-01,NULL
10089122,Mulberry Canon Barnett Primary Academy,163524,2022-07-01,NULL
10088066,St Hild's Church of England School,163221,2021-04-01,NULL
10065366,Worcester Sixth Form College,139504,2019-04-01,NULL
10086880,King Edward VI College Stourbridge,162888,2021-02-01,NULL
10084469,Saint Barnabas Church of England Primary School,122072,2019-10-01,NULL
10088090,Clive CofE Primary School,162713,2022-01-01,NULL
10084499,Richard Bonington Primary and Nursery School,162300,2019-10-01,NULL
10085591,Brookside Primary School,141433,2020-03-01,NULL
10086732,Abbey Road Primary School,162911,2020-11-01,NULL
10088746,Chatten Free School,163409,2021-09-01,NULL
10087715,Annfield Plain Junior School,163265,2021-04-01,NULL
10087713,East Stanley School,163272,2021-04-01,NULL
10087714,Annfield Plain Infant School,163264,2021-04-01,NULL
10089756,Langley Park Primary School,163589,2022-04-01,NULL
10087283,Our Lady's Catholic Primary School,163066,2021-01-01,NULL
10089744,Oakfield Lodge School,134250,2022-06-01,NULL
10083347,Chaselea Alternative Provision Academy,141114,2019-06-01,NULL
10087060,Bailey Street Alternative Provision Academy,163030,2021-01-01,NULL
10086153,Shenstone Lodge School,162200,2020-07-01,NULL
10084721,Lakeside Primary Academy,138725,2019-11-01,NULL
10086742,Warton St Paul's Church of England Primary Academy,163011,2020-09-01,NULL
10089916,St Matthew's Church of England Primary Academy,163658,2022-02-01,NULL
10087063,Castle View Primary,163012,2022-06-01,NULL
10085848,Stanhope Barrington CofE Primary School,162624,2020-04-01,NULL
10085815,Ingleton CofE Primary School,162609,2020-04-01,NULL
10084483,Bishop Ian Ramsey CofE Primary School,162320,2019-10-01,NULL
10089902,Shears Green Infant School,163677,2022-05-01,NULL
10082952,Walker Primary School,151848,2019-04-01,NULL
10084473,Woodside Junior School,162251,2019-12-01,NULL
10086256,Elmtree Infant and Nursery School,162714,2020-07-01,NULL
10085853,St Mary's Church of England School,151837,2020-04-01,NULL
10086003,Curzon Church of England Combined School,162603,2020-06-01,NULL
10084233,Christ the Sower Ecumenical Primary School,151965,2019-09-01,NULL
10089249,Sandford Primary School,163368,2021-12-01,NULL
10089248,Winscombe Primary School,163375,2021-12-01,NULL
10082937,Brent Knoll Church of England Primary School,141172,2019-04-01,NULL
10085862,Shipham Church of England First School,162303,2020-04-01,NULL
10085827,Cheddar First School,162282,2020-04-01,NULL
10085819,Fairlands Middle School,162289,2020-04-01,NULL
10085822,Draycott & Rodney Stoke Church of England First School,162287,2020-04-01,NULL
10083344,The Bridge School,141645,2019-06-01,NULL
10088896,Stopsley High School,163313,2021-09-01,NULL
10088753,Cornerstone School,163416,2021-09-01,NULL
10087730,The Icknield Primary School,163317,2021-04-01,NULL
10085599,Keyingham Primary School,162559,2020-03-01,NULL
10089116,The Purbeck School,163503,2022-05-01,NULL
10084726,Damers First School,151995,2019-11-01,NULL
10068321,Shalford Infant School,140900,2019-11-01,NULL
10085861,Newhouse Academy,162304,2020-04-01,NULL
10084512,"St Nicholas Church of England Primary School, Tillingham",162223,2019-12-01,NULL
10084536,Two Village Church of England Primary School,140826,2020-09-01,NULL
10082940,Colne Engaine Church of England Primary School,151764,2019-04-01,NULL
10082942,"St Andrew's Church of England Primary School, Great Yeldham",151831,2019-04-01,NULL
10086744,Parker's Church of England Primary Academy,162436,2020-11-01,NULL
10086858,Northstowe Secondary College,162897,2020-09-01,NULL
10087568,The Bluecoat School,163160,2021-01-01,NULL
10084780,The Martin Bacon Academy,152090,2020-04-01,NULL
10087059,The Harbour School,141469,2021-01-01,NULL
10086008,Skipton Parish Church of England Primary School,162524,2021-08-01,NULL
10082918,Holme Hall Primary School,151723,2019-04-01,NULL
10083207,Brookfield Primary School,141182,2019-05-01,NULL
10077126,Old Hall Junior School,141257,2019-06-01,NULL
10069309,Walton Holymoorside Primary School,141109,2019-06-01,NULL
10084218,Starbeck Primary Academy,151867,2019-09-01,NULL
10086878,Greatwood Community Primary School,162619,2020-09-01,NULL
10090158,Willow Tree Community Primary School,163746,2022-04-01,NULL
10083906,Hook Lane Primary School,151984,2019-09-01,NULL
10085582,Sedgefield Community College,162486,2020-03-01,NULL
10082958,The Galfrid School,141122,2019-06-01,NULL
10080947,Marsden Heights Community College,140920,2020-11-01,NULL
10088875,Horncastle Primary School,163458,2021-09-01,NULL
10085845,The Forest School,162627,2020-04-01,NULL
10087326,Forest Moor School,162862,2021-07-01,NULL
10083788,Springwell Alternative Academy Grantham,141651,2019-06-10,NULL
10083787,Springwell Alternative Academy Lincoln,141650,2019-06-10,NULL
10067064,Penny Field School,138215,2021-05-01,NULL
10087092,Bowling Green Academy,163010,2020-12-01,NULL
10083032,Raynville Academy,151827,2019-04-01,NULL
10085574,Carlinghow Academy,162152,2020-04-01,NULL
10081300,Cockwood Primary School,140700,2019-06-01,NULL
10081301,Kenton Primary School,140710,2019-06-01,NULL
10081303,Kenn Church of England Primary School,140709,2019-06-01,NULL
10084486,Hertsmere Jewish Primary School,152011,2019-10-01,NULL
10087284,The De Montfort School,163161,2021-01-01,NULL
10090210,Busbridge Infant School,163794,2022-04-01,NULL
10086752,Ravenstone Primary School,162195,2020-10-01,NULL
10083659,Acorn Academy,151986,2019-07-01,NULL
10083208,Mildmay Infant and Nursery School,151810,2019-05-01,NULL
10084535,Hillocks Primary Academy,140739,2020-12-01,NULL
10085595,St John's CofE Primary School,162368,2021-01-01,NULL
10085596,Ilam CofE (VA) Primary School,162357,2021-11-01,NULL
10083005,Holyoakes Field First School,140544,2019-05-01,NULL
10083602,Pearl Hyde Community Primary School,151818,2019-09-01,NULL
10084152,St Paul's CofE First School,162224,2019-10-01,NULL
10084147,"All Saints CofE Primary School, Bednall",152136,2019-12-01,NULL
10084151,Church Eaton Primary School,162157,2019-10-01,NULL
10084154,St Leonard's CofE First School,131650,2019-12-01,NULL
10084150,Dove CofE Academy,162164,2019-10-01,NULL
10087337,Little Aston Primary Academy,162721,2020-12-01,NULL
